nodeID		X position	Y position
1		278		26
2		270		48
3		278		67
4		271		91
5		278		111
6		271		134
7		276		156
8		272		176
9		270		199
10		278		222
11		269		242
12		275		266
13		272		289
14		243		53
15		234		23
16		244		71
17		238		52
18		235		118
19		238		95
20		238		186
21		235		140
22		247		180
23		243		232
24		219		230
25		230		273
26		235		262
27		238		107
28		62		263
29		91		130
30		183		209
31		246		106
32		248		42
33		140		33
34		91		185
35		95		69
36		82		159
37		156		249
38		235		225
39		115		33
40		215		273
41		56		294
42		178		13
43		87		141
44		85		77
45		102		12
46		56		222
47		194		16
48		139		73
49		88		10
50		93		126
51		191		13
52		80		38
53		180		176
54		29		236
55		134		136
56		23		88
57		34		7
58		154		58
59		113		100
60		114		151
61		113		109
62		60		70
63		16		211
64		115		23
65		225		282
66		106		103
67		87		31
68		93		65
69		215		255
70		88		127
71		159		271
72		177		290
73		33		113
74		232		298
75		45		267
76		84		143
77		196		292
78		94		300
79		186		108
80		192		173
81		85		123
82		168		52
83		27		122
84		39		136
85		180		177
86		119		66
87		85		135
88		227		158
89		179		59
90		161		34
91		97		271
92		47		191
93		15		292
94		120		181
95		70		153
96		1		91
97		241		135
98		185		51
99		200		230
100		103		206
101		83		276
102		240		147
103		246		184
104		136		16
105		42		54
106		53		124
107		128		76
108		19		24
109		219		220
110		67		290
111		172		265
112		185		86
113		56		95
114		26		285
115		233		295
116		234		204
117		71		140
118		241		48
119		20		18
120		181		158
121		228		129
122		132		285
123		136		155
124		132		111
125		107		8
126		78		49
127		238		270
128		208		222
129		134		285
130		75		126
