nodeID		X position	Y position
1		1175		8
2		1174		11
3		1176		19
4		1171		21
5		1169		26
6		1171		33
7		1170		37
8		1178		44
9		1173		48
10		1169		52
11		1176		55
12		1178		61
13		1178		65
14		1173		72
15		1177		75
16		1171		83
17		1176		88
18		1170		92
19		1174		95
20		1172		101
21		1177		105
22		1174		113
23		1170		116
24		1171		120
25		1177		125
26		1173		131
27		1176		135
28		1178		141
29		1177		146
30		1170		152
31		1173		159
32		1177		160
33		1175		166
34		1173		171
35		1173		177
36		1175		182
37		1173		186
38		1178		192
39		1169		196
40		1177		202
41		1177		206
42		1172		212
43		1173		215
44		1169		221
45		1175		227
46		1176		230
47		1171		235
48		1176		244
49		1175		247
50		1170		251
51		1176		258
52		1173		260
53		1174		265
54		1169		271
55		1174		277
56		1172		280
57		1175		285
58		1177		293
59		1177		297
60		1173		304
61		1177		308
62		1171		310
63		1173		318
64		1174		324
65		1173		328
66		1176		332
67		1174		339
68		1172		340
69		1176		346
70		1173		353
71		1172		359
72		1175		361
73		1171		367
74		1170		372
75		1169		379
76		1177		383
77		1176		388
78		1177		391
79		1173		395
80		1170		403
81		1175		406
82		1175		413
83		1177		417
84		1178		424
85		1176		425
86		1172		431
87		1174		435
88		1172		444
89		1178		445
90		1170		452
91		1178		458
92		1177		463
93		1175		466
94		1175		473
95		1178		476
96		1178		480
97		1178		487
98		1178		491
99		1176		497
100		1177		500
101		1176		506
102		1170		510
103		1177		519
104		1176		522
105		1177		526
106		1169		530
107		1173		535
108		1173		542
109		1176		545
110		1174		552
111		1171		558
112		1170		561
113		1170		568
114		1177		571
115		1176		575
116		1171		583
117		1171		585
118		1173		593
119		1175		596
120		1169		601
121		1170		607
122		1178		611
123		1171		619
124		1173		621
125		1178		626
126		1174		634
127		1177		635
128		1178		644
129		1171		649
130		1178		653
131		1176		655
132		1170		660
133		1174		669
134		1170		672
135		1171		676
136		1171		681
137		1176		687
138		1169		691
139		1172		699
140		1173		702
141		1172		709
142		1176		711
143		1169		718
144		1172		720
145		1174		728
146		1169		730
147		1173		738
148		1176		744
149		1175		749
150		1169		753
151		1178		757
152		1173		761
153		1173		767
154		1171		773
155		1177		778
156		1174		782
157		1173		789
158		1174		791
159		1169		799
160		1177		804
161		1170		808
162		1176		811
163		1170		815
164		1175		823
165		1177		829
166		1172		832
167		1177		839
168		1177		842
169		1170		846
170		1176		853
171		1177		855
172		1169		864
173		1174		868
174		1172		874
175		1175		878
176		1172		880
177		1171		887
178		1170		893
179		1174		896
180		1173		903
181		1174		906
182		1171		911
183		1177		916
184		1170		922
185		1175		927
186		1173		931
187		1169		936
188		1178		942
189		1178		949
190		1172		950
191		1174		955
192		1169		963
193		1171		968
194		1171		971
195		1170		977
196		1175		981
197		1173		986
198		1172		991
199		1171		998
200		1169		1000
201		1173		1009
202		1172		1013
203		1174		1015
204		1178		1020
205		1174		1026
206		1178		1033
207		1178		1036
208		1171		1044
209		1173		1046
210		1172		1050
211		1177		1059
212		1171		1061
213		1176		1067
214		1177		1070
215		1174		1079
216		1170		1081
217		1169		1087
218		1174		1090
219		1177		1095
220		1169		1103
221		1173		1109
222		1174		1111
223		1170		1116
224		1178		1121
225		1171		1125
226		1178		1132
227		1169		1139
228		1173		1143
229		1172		1148
230		1178		1150
231		1170		1159
232		1174		1163
233		1177		1166
234		1171		1170
235		1175		1175
236		1171		1181
237		1172		1186
238		1172		1191
239		1175		1197
240		1170		1203
241		1132		8
242		1122		11
243		1143		50
244		1123		36
245		1127		8
246		1123		13
247		1127		48
248		1135		62
249		1126		26
250		1130		44
251		1133		43
252		1147		20
253		1147		24
254		1130		50
255		1146		63
256		1128		112
257		1133		76
258		1118		92
259		1143		85
260		1131		72
261		1138		135
262		1138		129
263		1133		142
264		1120		111
265		1148		87
266		1124		114
267		1148		136
268		1134		117
269		1145		147
270		1127		141
271		1133		142
272		1145		161
273		1137		200
274		1133		154
275		1133		160
276		1137		216
277		1133		169
278		1134		168
279		1145		185
280		1145		203
281		1145		207
282		1134		242
283		1133		198
284		1145		210
285		1137		261
286		1148		231
287		1133		265
288		1148		245
289		1137		281
290		1127		240
291		1148		259
292		1133		243
293		1133		248
294		1145		260
295		1133		260
296		1134		310
297		1137		319
298		1145		294
299		1145		298
300		1133		287
301		1145		309
302		1133		340
303		1133		301
304		1133		307
305		1133		311
306		1148		333
307		1133		322
308		1134		370
309		1148		347
310		1133		336
311		1134		389
312		1137		395
313		1133		397
314		1127		361
315		1145		368
316		1145		384
317		1148		389
318		1145		392
319		1133		378
320		1127		392
321		1137		440
322		1137		447
323		1145		418
324		1134		400
325		1148		426
326		1134		461
327		1133		418
328		1134		474
329		1134		421
330		1127		441
331		1134		434
332		1145		464
333		1137		500
334		1137		507
335		1134		452
336		1134		456
337		1134		463
338		1134		467
339		1148		498
340		1145		501
341		1148		507
342		1127		499
343		1145		520
344		1148		523
345		1145		527
346		1145		519
347		1133		518
348		1133		525
349		1148		546
350		1133		535
351		1133		588
352		1127		550
353		1127		557
354		1145		572
355		1148		576
356		1133		613
357		1133		615
358		1133		576
359		1137		630
360		1145		590
361		1127		596
362		1134		587
363		1133		649
364		1133		604
365		1134		602
366		1133		617
367		1145		636
368		1134		620
369		1133		679
370		1134		629
371		1148		656
372		1127		649
373		1133		652
374		1127		661
375		1133		706
376		1133		711
377		1148		688
378		1145		680
379		1134		729
380		1133		685
381		1134		739
382		1148		712
383		1145		707
384		1134		750
385		1133		711
386		1145		719
387		1133		721
388		1148		745
389		1137		783
390		1145		742
391		1134		733
392		1133		744
393		1133		750
394		1133		803
395		1145		779
396		1133		765
397		1133		772
398		1133		774
399		1145		788
400		1145		805
401		1127		797
402		1148		812
403		1127		804
404		1137		857
405		1145		830
406		1134		862
407		1145		840
408		1145		843
409		1127		835
410		1148		854
411		1145		856
412		1145		853
413		1133		851
414		1134		904
415		1137		912
416		1134		910
417		1133		917
418		1127		882
419		1133		879
420		1133		886
421		1133		889
422		1133		941
423		1145		917
424		1127		911
425		1137		961
426		1133		914
427		1145		925
428		1134		918
429		1134		925
430		1134		980
431		1133		938
432		1145		952
433		1133		998
434		1133		1001
435		1127		966
436		1137		1015
437		1133		969
438		1134		1021
439		1133		1028
440		1145		989
441		1133		992
442		1134		1043
443		1133		998
444		1134		996
445		1133		1009
446		1134		1009
447		1134		1012
448		1133		1074
449		1133		1029
450		1134		1080
451		1145		1060
452		1133		1091
453		1148		1068
454		1145		1071
455		1133		1062
456		1127		1070
457		1145		1076
458		1133		1073
459		1145		1096
460		1145		1092
461		1133		1092
462		1133		1094
463		1127		1105
464		1134		1097
465		1133		1155
466		1134		1108
467		1145		1128
468		1133		1126
469		1134		1178
470		1134		1126
471		1127		1133
472		1133		1151
473		1133		1146
474		1133		1151
475		1139		1171
476		1133		1146
477		1120		1186
478		1127		1166
479		1133		1169
480		1125		1177
481		339		516
482		204		21
483		1070		228
484		823		973
485		389		785
486		564		455
487		816		1180
488		998		524
489		19		1110
490		927		707
491		804		904
492		926		874
493		811		775
494		1095		1130
495		307		149
496		328		1143
497		610		1002
498		151		40
499		1102		674
500		344		126
501		444		191
502		1017		688
503		380		577
504		970		1190
505		58		637
506		354		880
507		44		238
508		86		173
509		475		655
510		81		948
511		872		157
512		325		880
513		608		906
514		395		340
515		54		169
516		713		17
517		695		928
518		465		240
519		904		503
520		839		251
521		172		978
522		242		473
523		674		613
524		133		581
525		654		54
526		62		1196
527		37		18
528		950		1127
529		514		90
530		989		1148
531		194		1031
532		594		1176
533		907		1030
534		487		846
535		249		129
536		846		314
537		1004		1028
538		353		98
539		980		761
540		693		917
541		172		235
542		326		645
543		617		555
544		260		469
545		331		86
546		257		200
547		931		126
548		26		13
549		622		704
550		334		534
551		992		44
552		864		902
553		682		150
554		462		959
555		1024		1172
556		472		1186
557		1080		525
558		640		200
559		310		1083
560		537		734
561		352		489
562		491		288
563		729		708
564		1018		828
565		397		1142
566		887		1026
567		86		694
568		438		1184
569		48		59
570		189		574
571		993		655
572		742		714
573		610		378
574		745		502
575		428		959
576		335		491
577		180		1188
578		464		1197
579		342		743
580		62		878
581		526		401
582		103		517
583		814		683
584		1084		1014
585		317		192
586		909		653
587		1145		456
588		150		13
589		456		742
590		859		219
591		16		776
592		89		535
593		943		312
594		28		561
595		91		1156
596		769		504
597		1123		775
598		551		1057
599		879		1054
600		543		406
601		742		280
602		438		241
603		118		320
604		376		277
605		304		628
606		622		839
607		539		1166
608		549		964
609		59		569
610		197		554
611		928		511
612		125		1073
613		976		738
614		641		1004
615		313		1169
616		742		919
617		992		1037
618		562		13
619		71		712
620		1117		641
621		895		717
622		151		1018
623		643		1079
624		305		675
625		554		846
626		124		859
627		1073		832
628		1044		511
629		354		775
630		1052		1195
631		1017		425
632		469		674
633		1109		728
634		186		201
635		943		590
636		1100		1087
637		962		778
638		728		5
639		244		22
640		560		614
641		638		843
642		128		551
643		1076		757
644		964		172
645		1137		979
646		732		1177
647		924		322
648		996		356
649		918		826
650		997		269
651		496		155
652		473		396
653		209		28
654		32		729
655		484		624
656		441		866
657		642		206
658		409		160
659		462		845
660		399		890
661		300		191
662		215		408
663		340		1193
664		1012		995
665		660		10
666		53		271
667		567		324
668		714		1115
669		1057		714
670		944		202
671		881		407
672		964		140
673		78		769
674		35		811
675		1128		492
676		134		581
677		473		641
678		52		1165
679		291		833
680		494		177
681		310		1033
682		88		338
683		859		173
684		722		293
685		1108		67
686		1085		658
687		1028		534
688		602		50
689		26		537
690		256		278
691		496		675
692		583		749
693		1126		386
694		718		493
695		685		512
696		330		461
697		308		1108
698		316		692
699		1067		355
700		171		123
701		596		750
702		894		297
703		640		827
704		311		671
705		196		219
706		548		872
707		619		523
708		684		1015
709		999		12
710		321		493
711		999		841
712		438		1143
713		231		1001
714		1113		1109
715		1046		701
716		114		1081
717		767		752
718		188		139
719		59		983
720		679		862
721		121		1156
722		401		533
723		817		1089
724		750		647
725		399		232
726		939		938
727		742		767
728		965		481
729		672		1086
730		998		598
731		137		1083
732		124		544
733		349		590
734		455		91
735		305		560
736		262		1024
737		303		353
738		338		358
739		1042		1061
740		766		795
741		1072		1190
742		24		833
743		140		977
744		581		161
745		298		1004
746		202		640
747		50		1067
748		2		515
749		743		1072
750		263		479
751		171		11
752		183		182
753		386		87
754		259		676
755		214		367
756		349		373
757		31		752
758		704		1139
759		50		314
760		1076		149
761		1007		864
762		36		231
763		918		599
764		373		597
765		875		1069
766		402		1195
767		320		854
768		5		1126
769		1069		1042
770		34		7
771		781		1031
772		533		1037
773		963		1199
774		882		166
775		851		921
776		422		915
777		1023		384
778		79		160
779		607		4
780		936		721
781		597		605
782		487		1010
783		850		534
784		112		125
785		1086		1109
786		14		548
787		74		137
788		280		146
789		484		817
790		137		923
791		149		1198
792		309		10
793		738		770
794		348		268
795		1148		505
796		467		136
797		690		691
798		613		666
799		874		645
800		604		475
801		652		1046
802		564		984
803		181		126
804		1033		545
805		136		418
806		273		506
807		223		102
808		864		133
809		320		615
810		320		988
811		603		442
812		268		137
813		652		223
814		889		979
815		135		932
816		614		493
817		1040		703
818		188		1100
819		334		1079
820		1099		97
821		178		1108
822		766		889
823		579		572
824		824		20
825		270		521
826		1062		609
827		563		773
828		760		1162
829		907		630
830		712		796
831		752		1182
832		652		1060
833		916		576
834		853		425
835		478		532
836		672		952
837		649		514
838		1023		695
839		245		782
840		258		297
841		955		180
842		204		752
843		435		1116
844		248		550
845		1063		25
846		49		239
847		367		698
848		348		1000
849		1110		247
850		410		111
851		637		701
852		258		103
853		769		156
854		418		863
855		625		483
856		14		725
857		221		1128
858		456		1070
859		857		1124
860		756		266
861		594		1112
862		1132		23
863		697		542
864		703		838
865		530		452
866		128		357
867		910		400
868		1095		203
869		773		483
870		1107		3
871		350		668
872		59		375
873		290		1073
874		1051		770
875		839		1010
876		1083		735
877		452		19
878		336		435
879		136		94
880		609		586
881		159		508
882		608		75
883		368		200
884		653		294
885		676		867
886		620		242
887		977		1167
888		35		879
889		356		427
890		553		692
891		65		1188
892		853		649
893		310		729
894		943		978
895		46		833
896		415		77
897		803		886
898		166		1174
899		968		194
900		114		274
901		269		452
902		458		14
903		737		303
904		915		610
905		539		915
906		394		1071
907		1148		1084
908		468		420
909		677		306
910		927		43
911		676		1014
912		653		1027
913		750		461
914		1006		492
915		274		1030
916		290		548
917		915		570
918		347		914
919		280		726
920		537		1027
921		186		967
922		185		671
923		478		166
924		3		964
925		273		227
926		577		39
927		691		472
928		977		1196
929		1002		638
930		193		783
931		1038		471
932		1072		485
933		303		619
934		497		682
935		288		1176
936		326		831
937		765		501
938		660		572
939		311		502
940		908		961
941		955		895
942		106		27
943		1132		459
944		627		405
945		596		709
946		382		592
947		934		784
948		321		136
949		545		1147
950		1128		1076
951		415		1117
952		273		265
953		626		245
954		778		388
955		87		432
956		858		632
957		447		602
958		807		1039
959		266		886
960		304		180
961		689		778
962		837		780
963		612		151
964		124		1094
965		635		249
966		50		505
967		393		567
968		597		598
969		287		1054
970		21		844
971		1109		220
972		54		23
973		249		1026
974		1092		581
975		991		842
976		339		151
977		516		391
978		110		217
979		796		573
980		1092		995
981		582		270
982		787		895
983		29		1125
984		593		859
985		592		470
986		653		519
987		76		165
988		71		885
989		538		535
990		959		355
991		68		1175
992		139		810
993		281		67
994		769		271
995		629		991
996		18		562
997		132		61
998		496		298
999		996		1166
1000		931		762
1001		1063		966
1002		905		464
1003		787		86
1004		1008		847
1005		672		25
1006		466		91
1007		38		366
1008		1085		410
1009		522		111
1010		671		1179
1011		991		1078
1012		860		1196
1013		43		842
1014		854		628
1015		1002		303
1016		252		184
1017		445		160
1018		641		965
1019		735		878
1020		892		283
1021		1021		342
1022		62		1137
1023		626		363
1024		184		451
1025		491		778
1026		25		171
1027		29		371
1028		311		865
1029		258		861
1030		662		444
1031		680		251
1032		273		544
1033		710		601
1034		291		661
1035		978		375
1036		273		415
1037		589		736
1038		852		1152
1039		569		924
1040		417		34
1041		326		386
1042		586		395
1043		1117		1184
1044		1078		617
1045		1135		373
1046		900		102
1047		830		1041
1048		46		164
1049		802		1184
1050		170		342
1051		908		230
1052		1121		400
1053		455		588
1054		888		445
1055		384		470
1056		393		824
1057		30		467
1058		125		1129
1059		899		728
1060		349		806
1061		474		105
1062		223		212
1063		1135		857
1064		633		793
1065		1144		72
1066		606		352
1067		78		414
1068		396		766
1069		369		425
1070		1130		1126
1071		666		377
1072		738		26
1073		492		99
1074		338		361
