nodeID		X position	Y position
1		272		31
2		277		60
3		270		91
4		276		121
5		270		151
6		270		182
7		275		210
8		271		244
9		274		274
10		274		300
11		238		41
12		235		31
13		247		66
14		239		92
15		247		126
16		247		157
17		234		180
18		240		264
19		228		286
20		228		278
21		227		77
22		177		5
23		149		170
24		100		96
25		217		280
26		13		72
27		162		97
28		16		108
29		239		197
30		17		97
31		241		250
32		93		249
33		121		38
34		37		196
35		46		97
36		123		239
37		195		275
38		21		197
39		80		237
40		124		47
41		67		261
42		112		121
43		71		70
44		142		11
45		232		115
46		70		48
47		238		120
48		75		135
49		67		178
50		193		299
51		46		37
52		100		66
53		225		38
54		161		146
55		197		35
56		228		269
57		202		121
58		135		165
59		215		26
60		158		284
61		6		211
62		171		121
63		9		144
64		44		240
65		92		32
66		103		77
67		25		197
68		133		291
69		218		258
70		171		80
71		102		300
72		210		259
73		151		166
74		185		166
75		83		177
76		5		83
77		188		62
78		34		147
79		153		70
80		162		33
81		3		22
82		9		129
83		123		272
84		229		291
85		231		105
86		151		169
87		194		98
88		95		15
89		44		199
90		196		17
91		67		183
92		103		213
93		214		113
94		145		160
95		77		124
96		120		40
97		56		137
98		84		161
99		234		93
100		72		66
